ID;nom;genre;description;chemin image;chemin film
1;bretagne;documentaire;Explorer les grandes profondeurs, s'affranchir du temps et repousser les limites du corps humain. 4 plongeurs s'apprêtent à vivre une expérience inédite : habiter dans un caisson pressurisé de 5m2 pendant 28 jours afin d'explorer sans limites la zone des 100m et révéler les fonds luxuriants et encore méconnus de la Méditerranée. La Méditerranée. Parce que les hommes y voyagent depuis des millénaires, on la croit sans secrets. Et pourtant, loin sous sa surface, se cachent de vastes territoires sous-marins que l'homme n'a encore jamais parcourus, des jardins luxuriants dignes des plus beaux récifs coralliens tropicaux. Très peu connus, ces joyaux naturels des eaux tempérés s'épanouissent au-delà des profondeurs accessibles au plongeur traditionnel, dans la zone crépusculaire où ne parvient que moins d'1% de la lumière du soleil, entre 60 et 120 m de fond. Si plonger à de telles profondeurs est toujours un challenge, y séjourner est un fantasme, une utopie qui devient réalité dans Planète Méditerranée.;/film/affiche/bretagne.jpg;/film/Film/bretagne.mp4
2;wilfried;documentaire;Explorer les grandes profondeurs, s'affranchir du temps et repousser les limites du corps humain. 4 plongeurs s'apprêtent à vivre une expérience inédite : habiter dans un caisson pressurisé de 5m2 pendant 28 jours afin d'explorer sans limites la zone des 100m et révéler les fonds luxuriants et encore méconnus de la Méditerranée. La Méditerranée. Parce que les hommes y voyagent depuis des millénaires, on la croit sans secrets. Et pourtant, loin sous sa surface, se cachent de vastes territoires sous-marins que l'homme n'a encore jamais parcourus, des jardins luxuriants dignes des plus beaux récifs coralliens tropicaux. Très peu connus, ces joyaux naturels des eaux tempérés s'épanouissent au-delà des profondeurs accessibles au plongeur traditionnel, dans la zone crépusculaire où ne parvient que moins d'1% de la lumière du soleil, entre 60 et 120 m de fond. Si plonger à de telles profondeurs est toujours un challenge, y séjourner est un fantasme, une utopie qui devient réalité dans Planète Méditerranée.;/film/affiche/wilfried.jpg;/film/Film/wilfried.mp4
3;Planète Méditerranée;documentaire;Explorer les grandes profondeurs, s'affranchir du temps et repousser les limites du corps humain. 4 plongeurs s'apprêtent à vivre une expérience inédite : habiter dans un caisson pressurisé de 5m2 pendant 28 jours afin d'explorer sans limites la zone des 100m et révéler les fonds luxuriants et encore méconnus de la Méditerranée. La Méditerranée. Parce que les hommes y voyagent depuis des millénaires, on la croit sans secrets. Et pourtant, loin sous sa surface, se cachent de vastes territoires sous-marins que l'homme n'a encore jamais parcourus, des jardins luxuriants dignes des plus beaux récifs coralliens tropicaux. Très peu connus, ces joyaux naturels des eaux tempérés s'épanouissent au-delà des profondeurs accessibles au plongeur traditionnel, dans la zone crépusculaire où ne parvient que moins d'1% de la lumière du soleil, entre 60 et 120 m de fond. Si plonger à de telles profondeurs est toujours un challenge, y séjourner est un fantasme, une utopie qui devient réalité dans Planète Méditerranée.;/film/affiche/Planète%20Méditerranée.jpg;/film/Film/Planète%20Méditerranée.mp4
4;l'art du réel;documentaire;Ce long métrage documentaire entraîne le spectateur au cœur de la démarche créatrice de 40 maîtres du documentaire issus de 14 pays, entremêlant les interviews, les images tournées en coulisses et certains des meilleurs moments passés et présent, du cinéma. Ouvrage de référence hors du commun pour les férus de cinéma et de documentaire, L’art du réel : le cinéma documentaire explore la démarche créatrice, la passion qui guide ces cinéastes et la façon dont ils fabriquent des récits convaincants à même la réalité crue du quotidien.;/film/affiche/l'art%20du%20réel.jpg;/film/Film/l'art%20du%20réel.mp4
5;vers un climat atificiel ;documentaire;Notre ciel soumis à une évolution contrôlée, un ciel souvent voilé entrainant moins de luminosité. Sommes-nous correctement informés sur les recherches scientifiques liées au climat, sur leurs conséquences ou leurs dangers, sur la croissance des métaux lourds, des pics de pollution aux particules fines, et l’acidification de notre corps ? Ce film enquête sur ces méthodes de modifications climatiques, les accords les concernant, leurs enjeux.;/film/affiche/vers%20un%20climat%20atificiel%20.jpg;/film/Film/vers%20un%20climat%20atificiel%20.mp4
